date,open,max,min,close,x,y
2011.03.21,1425.50000,1434.65000,1423.65000,1426.75000,2076,0
2011.03.22,1426.26000,1431.88000,1419.41000,1428.31000,2290,0
2011.03.23,1428.06000,1440.75000,1425.71000,1437.75000,2040,0
2011.03.24,1438.15000,1447.35000,1423.80000,1432.35000,4131,0
2011.03.25,1431.45000,1437.70000,1422.45000,1429.32000,2838,0
2011.03.28,1427.18000,1428.60000,1410.12000,1419.92000,2971,0
2011.03.29,1420.29000,1423.00000,1410.95000,1418.15000,2197,0
2011.03.30,1418.20000,1429.75000,1411.90000,1422.60000,3131,0
2011.03.31,1423.00000,1439.22000,1420.30000,1431.83000,2902,0
2011.04.01,1431.28000,1436.00000,1412.77000,1428.31000,4350,0
2011.04.04,1428.60000,1438.52000,1427.58000,1433.70000,1679,0
2011.04.05,1434.12000,1456.99000,1429.74000,1455.74000,3289,0
2011.04.06,1456.17000,1462.02000,1451.16000,1459.33000,1857,0
2011.04.07,1458.95000,1464.75000,1452.49000,1457.85000,2343,0
2011.04.08,1458.43000,1474.89000,1456.34000,1474.53000,2101,0
2011.04.11,1474.46000,1476.20000,1459.24000,1463.00000,2247,0
2011.04.12,1462.41000,1467.14000,1444.00000,1452.62000,3650,0
2011.04.13,1453.25000,1462.07000,1451.05000,1457.01000,1829,0
2011.04.14,1457.40000,1474.64000,1452.42000,1473.87000,2798,0
2011.04.15,1474.84000,1487.99000,1471.30000,1486.64000,2159,0
2011.04.18,1486.10000,1497.55000,1477.38000,1495.01000,3144,0
2011.04.19,1495.57000,1499.31000,1487.30000,1496.14000,2346,0
2011.04.20,1494.70000,1505.74000,1492.20000,1502.15000,1964,0
2011.04.21,1501.70000,1508.90000,1499.74000,1504.56000,1547,0
2011.04.22,1504.01000,1504.01000,1503.49000,1503.52000,56,0
2011.04.25,1510.20000,1518.09000,1501.84000,1506.76000,2907,0
2011.04.26,1506.75000,1508.02000,1493.00000,1505.98000,2928,0
2011.04.27,1506.35000,1530.00000,1503.12000,1526.83000,3329,0
2011.04.28,1527.33000,1538.18000,1523.78000,1535.89000,2025,0
2011.04.29,1533.67000,1569.06000,1531.70000,1563.30000,4510,0
2011.05.02,1567.55000,1575.13000,1538.85000,1545.05000,5007,0
2011.05.03,1545.00000,1550.85000,1527.00000,1535.55000,3826,0
2011.05.04,1536.33000,1543.03000,1505.98000,1515.91000,5369,0
2011.05.05,1515.22000,1521.82000,1462.42000,1473.93000,7752,0
2011.05.06,1472.53000,1498.17000,1470.90000,1495.26000,3182,0
2011.05.09,1494.24000,1513.80000,1489.52000,1513.43000,2938,0
2011.05.10,1512.40000,1519.21000,1505.79000,1515.89000,2336,0
2011.05.11,1515.50000,1526.40000,1495.62000,1501.01000,4708,0
2011.05.12,1499.10000,1507.75000,1478.08000,1505.60000,5285,0
2011.05.13,1505.80000,1516.41000,1482.85000,1494.87000,5620,0
2011.05.16,1494.08000,1504.25000,1487.08000,1489.06000,2933,0
2011.05.17,1489.50000,1497.51000,1471.78000,1486.43000,4840,0
2011.05.18,1486.70000,1499.71000,1484.80000,1496.79000,1974,0
2011.05.19,1495.90000,1499.54000,1486.26000,1492.88000,2355,0
2011.05.20,1493.85000,1515.60000,1486.82000,1511.78000,3964,0
2011.05.23,1511.50000,1518.60000,1503.80000,1516.81000,2430,0
2011.05.24,1516.88000,1527.48000,1513.18000,1526.34000,1915,0
2011.05.25,1526.18000,1532.03000,1521.01000,1525.00000,2087,0
